disease,food,food nutrients
fever,Broth-based soups ,Protein|Collagen|Electrolytes|Vitamins and Minerals|Gelatin
fever,"Citrus fruits (oranges, lemons) ",Vitamin C|Fiber|Potassium|Folate|Antioxidants
fever,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
fever,"Leafy greens (spinach, kale)",Vitamin K|Vitamin A|Vitamin C|Folate|Iron
fever, Yogurt ,Protein| Calcium| Probiotics| Vitamin B12|Riboflavin (Vitamin B2)
Influenza (Flu),Bone broth,"Protein|Collagen|Electrolytes|Vitamins(B vitamins)|Minerals(calcium,magnesium,phosphorus)"
Influenza (Flu),"Citrus fruits (grapefruits, oranges)",Vitamin C| Fiber|Potassium| Folate|Antioxidants
Influenza (Flu),Garlic,Allicin|Vitamin C|Manganese|Vitamin B6|Selenium
Influenza (Flu),Green tea,Antioxidants (catechins)| Caffeine|Amino acids (L-theanine)|Fluoride|Vitamins B2 and B3
Influenza (Flu),Yogurt,Protein|Calcium|Probiotics|Vitamin B12|Riboflavin(Vitamin B2)
Influenza (Flu),Sweet potatoes,Carbohydrates|Fiber|Vitamin A (beta-carotene)|Vitamin C|Potassium
Diabetes,"Leafy greens (spinach, kale)",Vitamin K|Vitamin A|Vitamin C|Folate|Iron
Diabetes,"Whole grains (quinoa, brown rice)",Fiber|Protein|B vitamins|Iron|Magnesium
Diabetes,"Fatty fish (salmon, mackerel) ",Omega-3 fatty acids|Protein|Vitamin D|Selenium|Vitamin B12
Diabetes,Beans and legumes,Protein|Fiber|Folate|Iron|Magnesium
Diabetes,"Berries (blueberries, strawberries)",Vitamin C|Fiber|Antioxidants|Manganese|Folate
Hypertension (High Blood Pressure),"Leafy greens (spinach, kale)",Vitamin K|Vitamin A|Vitamin C|Folate|Iron
Hypertension (High Blood Pressure), Bananas ,Potassium|Vitamin C|Vitamin B6|Fiber|Magnesium
Hypertension (High Blood Pressure),Oats,Fiber|Protein|Magnesium|Iron|B vitamins
Hypertension (High Blood Pressure),Avocados,Healthy fats (monounsaturated fats)|Fiber|Potassium|Vitamin K|Vitamin E
Hypertension (High Blood Pressure),Salmon,Omega-3 fatty acids|Protein|Vitamin D|Selenium|Vitamin B12
Asthma,"Fatty fish (salmon, sardines)",Omega-3 fatty acids|Protein|Vitamin D|Selenium|Vitamin B12
Asthma,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Asthma," Leafy greens (spinach, kale) ",Vitamin K|Vitamin A|Vitamin C|Folate|Iron
Asthma,Turmeric,Curcumin|Manganese|Iron|Potassium|Antioxidants
Asthma, Berries,Vitamin C|Fiber|Antioxidants|Manganese|Folate
Common Cold,Garlic,Allicin|Vitamin C|Manganese|Vitamin B6|Selenium
Common Cold,Chicken soup,"Protein|Electrolytes|Vitamins (B vitamins)|Minerals (phosphorus, selenium)|Gelatin"
Common Cold,Honey,"Natural sugars|Antioxidants|Vitamins (B vitamins)|Minerals (calcium, iron)|Amino acids"
Common Cold,"Citrus fruits (lemons, oranges)",Vitamin C|Fiber|Potassium|Folate|Antioxidants
Common Cold,Ginger tea,Gingerol|Antioxidants|V itamin C|Magnesium|Potassium
Headache,Spinach,Vitamin K|Vitamin A|Vitamin C|Folate|Iron
Headache,Almonds,Vitamin E|Magnesium|Protein|Fiber|Antioxidants
Headache,Fatty Fish,Omega-3 fatty acids|Protein|Vitamin D|Selenium|Vitamin B12
Headache,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Headache,Watermelon,Vitamin C|Vitamin A|Potassium|Magnesium|Water (over 90%)
Cough,Honey,"Natural sugars|Antioxidants|Vitamins (B vitamins)|Minerals (calcium, iron)|Amino acids"
Cough,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Cough,Garlic,Allicin|Vitamin C|Manganese|Vitamin B6|Selenium
Cough,Lemon,Vitamin C|Fiber|Potassium|Vitamin B6|Flavonoids
Cough,Pineapple,Vitamin C|Manganese|Bromelain|Fiber|Vitamin B6
Sore Throat,Honey,"Natural sugars|Antioxidants|Vitamins (B vitamins)|Minerals (calcium, iron)|Amino acids"
Sore Throat,Warm Broths,"Protein|Electrolytes|Vitamins (B vitamins)|Minerals (calcium, magnesium)|Gelatin"
Sore Throat,Herbal Teas,Antioxidants|Vitamins (varies by type)|Minerals (varies by type)|Flavonoids|Polyphenols
Sore Throat,Mashed Potatoes,Carbohydrates|Vitamin C|Potassium|Fiber|Vitamin B6
Sore Throat,Yogurt,Protein| Calcium| Probiotics| Vitamin B12|Riboflavin (Vitamin B2)
Sinusitis,Garlic,Allicin|Vitamin C|Manganese|Vitamin B6|Selenium
Sinusitis,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Sinusitis,"Spicy Foods (e.g., Chili Peppers)",Capsaicin|Vitamin C|Vitamin A|Potassium|Antioxidants
Sinusitis,Citrus Fruits,Vitamin C|Fiber|Potassium|Folate|Antioxidants
Sinusitis,Broth-based Soups,Protein|Collagen|Electrolytes|Vitamins and Minerals|Gelatin
Allergic Rhinitis (Hay Fever),Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Allergic Rhinitis (Hay Fever),Honey,"Natural sugars|Antioxidants|Vitamins (B vitamins)|Minerals (calcium, iron)|Amino acids"
Allergic Rhinitis (Hay Fever),Turmeric,Curcumin|Manganese|Iron|Potassium|Antioxidants
Allergic Rhinitis (Hay Fever),Citrus Fruits,Vitamin C|Fiber|Potassium|Folate|Antioxidants
Allergic Rhinitis (Hay Fever),Fatty Fish,Omega-3 fatty acids|Protein|Vitamin D|Selenium|Vitamin B12
Bronchitis,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Bronchitis,Garlic,Allicin|Vitamin C|Manganese|Vitamin B6|Selenium
Bronchitis,Turmeric,Curcumin|Manganese|Iron|Potassium|Antioxidants
Bronchitis,Honey,"Natural sugars|Antioxidants|Vitamins (B vitamins)|Minerals (calcium, iron)|Amino acids"
Bronchitis,Pineapple,Vitamin C|Manganese|Bromelain|Fiber|Vitamin B6
Pneumonia,Chicken Soup,"Protein|Electrolytes|Vitamins (B vitamins)|Minerals (phosphorus, selenium)|Gelatin"
Pneumonia,Garlic,Allicin|Vitamin C|Manganese|Vitamin B6|Selenium
Pneumonia,Citrus Fruits,Vitamin C|Fiber|Potassium|Folate|Antioxidants
Pneumonia,Leafy Greens,Vitamin K|Vitamin A|Vitamin C|Folate|Iron
Pneumonia,Ginger,Gingerol|Vitamin C|Magnesium|Potassium|Antioxidants
Diarrhea,Bananas,Potassium|Vitamin C|Vitamin B6|Fiber|Magnesium
Diarrhea,Rice,Carbohydrates|Protein|Manganese|Magnesium|B vitamins
Diarrhea,Applesauce,Vitamin C|Fiber|Antioxidants|Potassium|Carbohydrates
Diarrhea,Toast,Carbohydrates|Fiber (if whole grain)|B vitamins|Iron|Magnesium
Diarrhea,Yogurt,Protein| Calcium| Probiotics| Vitamin B12|Riboflavin (Vitamin B2)
